"id","start_time","end_time","type","area_id","multiply"
"2","2016/11/24 00:00:00","2016/12/25 00:00:00","1","NMA00005","2"
"3","2016/11/24 00:00:00","2016/12/25 00:00:00","2","NMA00004","2"
"4","2016/11/24 00:00:00","2016/12/25 00:00:00","6","NMA00003","2"
"5","2016/11/24 00:00:00","2016/12/25 00:00:00","1","ELA00005","2"
"6","2016/11/24 00:00:00","2016/12/25 00:00:00","2","ELA00004","2"
"7","2016/11/24 00:00:00","2016/12/25 00:00:00","3","ELA00003","2"
"8","2016/11/24 00:00:00","2016/12/25 00:00:00","8","ELA00002","2"
"9","2016/11/24 00:00:00","2016/12/25 00:00:00","1","SPA00001","2"
"10","2016/11/24 00:00:00","2016/12/25 00:00:00","2","SPA00002","2"
"11","2016/11/24 00:00:00","2016/12/25 00:00:00","6","SPA00003","2"
"12","2016/11/24 00:00:00","2016/12/25 00:00:00","8","SPA00004","2"
